"Sign Up for Our Newsletter:","Abonnez vous à la newsletter"
"Sort","Trier"
"croissant","croissant"
"décroissant","décroissant"
"Shop By","Filtrer"
"Free Shipping","Livraison gratuite"
"Liste d'envies","Liste d'envies"
"%d Review(s)","(%d)"
"Add Your Review","Donner son avis"
"Manage Addresses","Gérer"
"Use this advantage code","Utiliser ce bon de réduction"
"Mage_Catalog::Shop By","Filtrer"
"Account Dashboard","Mon compte"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s a bien été ajouté à votre liste de voeux. Cliquez <a href=""%2$s"">ici</a> pour continuer vos achats."
"Mage_Wishlist::Add All to Cart","Tout ajouter au panier"
"Mage_Wishlist::Add to Cart","Ajouter au panier"
