"The parcel is too heavy for this shipping method","The parcel is too heavy for this shipping method"
"The shipping method doesn't cover the zone","The shipping method doesn't cover the zone"
"Error in the configuration of the shipping method","Error in the configuration of the shipping method"
"Display when unavailable","Display when unavailable"
"Configuration","Configuration"
"Example : [France; FR; 0.3:8.5,0.8:9.7]","Example : [France; FR; 0.3:8.5,0.8:9.7]"
"Tracking URL","Tracking URL"
"Stop to first match","Stop to first match"
"Overwrite value for all shipping methods of Owebia Shipping module","Overwrite value for all shipping methods of Owebia Shipping module"
"Owebia Shipping module","Owebia Shipping module"
"Weight unit","Weight unit"
"By destination zone and by weight","By destination zone and by weight"
"By destination zone and by price","By destination zone and by price"
"By destination zone and by item","By destination zone and by item"
"The order amount is too high for this shipping method","The order amount is too high for this shipping method"
"There is too many items for this shipping method","There is too many items for this shipping method"
"items","items"
"Display weight","Display weight"
"Display weight when null","Display weight when null"
"Active when weight null","Active when weight null"
"Use amount with tax","Use amount with tax"
"The shipping method isn't available with this cart amount","The shipping method isn't available with this cart amount"
