"Slideshows","Diaporamas"
"Manage Slideshows","Gérer les diaporamas"
"Add a slideshow","Créer un diaporama"
"There's no product whith sku %s","Il n'y a pas de produit avec le sku %s"
"Title","Titre"
"Information","Information"
"Slideshow","Diaporama"
"Manage slides","Gérer les diapos"
"Add Slide","Ajouter une diapo"
"New Slide","Nouvelle diapo"
"Edit Slide %s","Modifier diapo %s"
"Slideshow Information","Informations du diaporama"
"Slideshow was successfully saved","Le diaporama a bien été créé"
"Slideshow was successfully deleted","Le diaporama a bien été supprimé"
"Slide was successfully saved","La diapo a bien été créé"
"Slide was successfully deleted","La diapo a bien été supprimée"
"Slide Information","Informations de la diapo"
"From Date","A partir du"
"To Date","Jusqu'au"
"URL link","URL du lien"
"Background image","Image de fond"
"Linked product SKU","SKU du produit lié"
"Position","Position"

