"Manage Brands","Gérer les marques"
"Brand","Marque"
"Brands","Marques"
"Brand Manager","Gérer les marques"
"Save Brand", "Sauvegarder la marque"
"Delete Brand", "Supprimer la marque"
"Edit Brand '%s'", "Modifier Marque '%s'"
"Add Brand", "Ajouter Marque"
"Save And Continue Edit", "Sauvegarder et continuer a éditer"
"Brand information", "Information de la marque"
"Please select a brand ...", "-- Votre choix --"
"Please enter a lower-case value","Veuillez renseigner une valeur en minuscule"
"Brand was successfully saved","Marque mise à jour avec succès"
