"Force trailing slash to canonical URL's","Forcer le slash final aux URLs canoniques"
"Use for Product pages sitemap URL for canonical URL's","Utiliser les URLs du sitemap pour les URLs canoniques des pages produits"
"Product Title Template","Canevas titre des pages produits"
"Product Description Template","Canevas description des pages produits"
"Product Keywords Template","Canevas mot-clés des pages produits"
"Category Title Template","Canevas titre des pages catégories"
"Category Description Template","Canevas description des pages catégories"
"Category Keywords Template","Canevas mot-clés des pages categories"
"You can use the variables {{name}}, {{sku}}, {{category.name}}, {{parent.name}} and {{brand}} in this template";"Pouvez utiliser les variables {{name}}, {{sku}}, {{category.name}}, {{parent.name}} et {{brand}} dans ce canevas"
"You can use the variables {{category.name}} and {{parent.name}} in this template";"Pouvez utiliser les variables {{category.name}} et {{parent.name}} dans ce canevas"
